Name,Grade,Scale,Universe,JAPCODE,Series,Release_date,Cost(yen)
Buoh Gundam ,Super Deformed,No Scale,SD,4543112060464,SD Gundam Musha Maruden,11/1/2001,¥540
PG RX-178 Gundam Mk-II A.E.U.G.  ,Perfect Grade,1/60,Universal Century,4543112060471,Mobile Suit Zeta Gundam,11/1/2001,¥16200
HGUC RX-78 GP03S Gundam GP03 STAMEN ,High Grade,1/144,Universal Century,4543112070166,Mobile Suit Gundam 0083: Stardust Memory,12/1/2001,¥1728
MG RX-77-2 Gun Cannon ,Master Grade,1/100,Universal Century,4543112070173,Mobile Suit Gundam,12/1/2001,¥3240
Kioh Gundam ,Super Deformed,No Scale,SD,4543112070197,Gundam	SD Gundam Musha Maruden,12/1/2001,¥540
RX-178+FXA-05D Super Gundam ,Super Deformed,No Scale,Universal Century,4543112070203,Mobile Suit Zeta Gundam,12/1/2001,¥864
HGUC MS-14Fs Gelgoog Marine Cima Custom  ,High Grade,1/144,Universal Century,4543112077202,Mobile Suit Gundam 0083: Stardust Memory,01/01/2002,¥1620
Touoh Gundam ,Super Deformed,No Scale,SD,4543112077219,SD Gundam Musha Maruden,01/01/2002,¥540
Crossbone Gundam X2 (SD)  ,Super Deformed,No Scale,Universal Century,4543112077226,Mobile Suit Crossbone Gundam,01/01/2002,¥432
HGUC MS-09F Dom Tropen Sand Brown  ,High Grade,1/144,Universal Century,4543112077233,Mobile Suit Gundam 0083: Stardust Memory,02/01/2002,¥1728
MG MSZ-006C1 Zeta Plus C1 ,Master Grade,1/100,Universal Century,4543112077240,Gundam Sentinel,02/01/2002,¥3240
Gaioh Gundam ,Super Deformed,No Scale,SD,4543112077257,SD Gundam Musha Maruden,02/01/2002,¥864
HGUC RX-78 GP03 Gundam GP03 Dendrobium ,High Grade,1/144,Universal Century,4543112079855,Mobile Suit Gundam 0083: Stardust Memory,03/01/2002,¥30240
MG GF13-001NH II Master Gundam ,Master Grade,1/100,Future Century,4543112088277,Mobile Fighter G Gundam,03/01/2002,¥3024
Bakuoh Gundam ,Super Deformed,No Scale,SD,4543112088284,SD Gundam Musha Maruden,03/01/2002,¥540
Zaku II S (SD)  ,Super Deformed,No Scale,Universal Century,4543112088291,Mobile Suit Gundam,03/01/2002,¥540
HGUC MSA-0011'Ext' Ex-S Gundam ,High Grade,1/144,Universal Century,4543112094636,Gundam Sentinel,04/01/2002,¥2700
MG MS-06F-2 Zaku II Type F2  ,Master Grade,1/100,Universal Century,4543112094643,Mobile Suit Gundam 0083: Stardust Memory,04/01/2002,¥3240
Wakamaru ,Super Deformed,No Scale,SD,4543112094650,SD Gundam Musha Maruden,04/01/2002,¥540
SD Gundam V Operation Set (SD)  ,Super Deformed,No Scale,Universal Century,4543112094674,Mobile Suit Gundam,04/01/2002,¥1620
HGUC RX-178 Gundam Mk-II Titans Color ,High Grade,1/144,Universal Century,4543112105349,Mobile Suit Zeta Gundam,05/01/2002,¥1080
MG GF13-017NJ Shining Gundam ,Master Grade,1/100,Future Century,4543112105356,Mobile Fighter G Gundam,05/01/2002,¥2700
Buraimaru ,Super Deformed,No Scale,SD,4543112105363,SD Gundam Musha Maruden,05/01/2002,¥540
SD MSN-02 Zeong Perfect Model ,Super Deformed,No Scale,Universal Century,4543112105370,Mobile Suit Gundam,05/01/2002,¥864
HGUC AMX-107 Bawoo Production Type ,High Grade,1/144,Universal Century,4543112118981,Mobile Suit Gundam ZZ,06/01/2002,¥1296
MG RGM-79C GM Type C  ,Master Grade,1/100,Universal Century,4543112119001,Mobile Suit Gundam 0083: Stardust Memory,06/01/2002,¥2700
HGUC MS-06S Char's Zaku II ,High Grade,1/144,Universal Century,4543112128140,Mobile Suit Gundam,07/01/2002,¥1080
MG MSN-02 Zeong  ,Master Grade,1/100,Universal Century,4543112128157,Mobile Suit Gundam,07/01/2002,¥6480
PG RX-178 Gundam Mk-II Titans Color  ,Perfect Grade,1/60,Universal Century,4543112128164,Mobile Suit Zeta Gundam,07/01/2002,¥16200
HGUC RMS-099 Rick Dias Quatro Custom ,High Grade,1/144,Universal Century,4543112128171,Mobile Suit Zeta Gundam,08/01/2002,¥1296
MG GF13-021NG Gundam Spiegel  ,Master Grade,1/100,Future Century,4543112128188,Mobile Fighter G Gundam,08/01/2002,¥2700
Harimaru  ,Super Deformed,No Scale,SD,4543112128195,SD Gundam Musha Maruden 3,07/01/2002,¥540
SD Perfect Gundam ,Super Deformed,No Scale,Universal Century,4543112128201,Mobile Suit Gundam,07/01/2002,¥1080
Bakimaru ,Super Deformed,No Scale,SD,4543112128218,SD Gundam Musha Maruden 3,03/01/2003,¥540
Gekirinshogundam ,Super Deformed,No Scale,SD,4543112128225,SD Gundam Musha Maruden 3,08/01/2002,¥540
Gogg and Acguy and Zock (SD)  ,Super Deformed,No Scale,Universal Century,4543112128232,Mobile Suit Gundam,08/01/2002,¥1620
Gundam Astray Red Frame  ,No Grade,1/144,Cosmic Era,4543112134042,Mobile Suit Gundam SEED,08/01/2002,¥324
HGUC MS-06FS Zaku II Garma Custom ,High Grade,1/144,Universal Century,4543112135513,Mobile Suit Gundam,09/01/2002,¥1080
Duel Gundam  ,No Grade,1/144,Cosmic Era,4543112135520,Mobile Suit Gundam SEED,10/1/2002,¥324
Strike Gundam  ,No Grade,1/144,Cosmic Era,4543112135537,Mobile Suit Gundam SEED,10/1/2002,¥324
MG RX-78/C.A. Char's Gundam  ,Master Grade,1/100,Alternate Universal Century,4543112135544,Moblie Suit Gundam: Gihren's Ambitions,08/01/2002,¥3240
JDG-00X Devil Gundam (SD)  ,Super Deformed,No Scale,Future Century,4543112137807,Mobile Fighter G Gundam,02/01/2003,¥864
MG MS-06F-2 Zaku II Type F2 (E.F.S.F. Ver.)  ,Master Grade,1/100,Universal Century,4543112137814,Mobile Suit Gundam 0083: Stardust Memory,09/01/2002,¥3240
MG MSA-0011 S Gundam  ,Master Grade,1/100,Universal Century,4543112139320,Gundam Sentinel,10/1/2002,¥6480
Aegis Gundam  ,No Grade,1/144,Cosmic Era,4543112139344,Mobile Suit Gundam SEED,10/1/2002,¥432
Shining Gundam (SD)  ,Super Deformed,No Scale,Future Century,4543112139368,Mobile Fighter G Gundam,9/2/2002,¥648
Mobile Ginn  ,No Grade,1/144,Cosmic Era,4543112142016,Mobile Suit Gundam SEED,11/1/2002,¥432
Gundam Astray Blue Frame  ,No Grade,1/144,Cosmic Era,4543112142023,Mobile Suit Gundam SEED,11/1/2002,¥324
HG GAT-X102 Duel Gundam Assault Shroud  ,High Grade,1/144,Cosmic Era,4543112142030,Mobile Suit Gundam SEED,11/1/2002,¥1296
HG GAT-X105 Aile Strike Gundam ,High Grade,1/144,Cosmic Era,4543112142047,Mobile Suit Gundam SEED,11/1/2002,¥1296
Quick Model Duel Gundam ,No Grade,1/144,Cosmic Era,4543112142054,Mobile Suit Gundam SEED Destiny,11/1/2002,¥1058
Quick Model Strike Gundam ,No Grade,1/144,Cosmic Era,4543112142061,Mobile Suit Gundam SEED Destiny,11/1/2002,¥1058
HGUC RX-178+FXA-05D Super Gundam ,High Grade,1/144,Universal Century,4543112142078,Mobile Suit Zeta Gundam,11/1/2002,¥2160
Buster Gundam  ,No Grade,1/144,Cosmic Era,4543112142092,Mobile Suit Gundam SEED,12/1/2002,¥432
HG GAT-X303 Aegis Gundam ,High Grade,1/144,Cosmic Era,4543112142108,Mobile Suit Gundam SEED,12/1/2002,¥1296
1/100 Aile Strike Gundam ,No Grade,1/100,Cosmic Era,4543112142115,Mobile Suit Gundam SEED,12/1/2002,¥2160
1/60 Strike Gundam  ,No Grade,1/60,Cosmic Era,4543112142122,Mobile Suit Gundam SEED,12/1/2002,¥3780
HGUC PMX-03 THE O ,High Grade,1/144,Universal Century,4543112142139,Mobile Suit Zeta Gundam,12/1/2002,¥2592
MG RGM-79C GM Type C (Standard Color) ,Master Grade,1/100,Universal Century,4543112142146,Mobile Suit Gundam 0083: Stardust Memory,11/1/2002,¥2700
MG RX-78-2 Gundam Ver.Ka  ,Master Grade,1/100,Universal Century,4543112142153,Mobile Suit Gundam,12/1/2002,¥3456
GF13-017NJII G Gundam (SD)  ,Super Deformed,No Scale,Future Century,4543112142160,Mobile Fighter G Gundam,12/1/2002,¥648
BB Soldiers of the Strongest Team ,Super Deformed,No Scale,SD,4543112142269,SD Gundam Musha Maruden 2,12/1/2002,¥3024
MG MS-09R-S Char's Rick Dom ,Master Grade,1/100,Alternate Universal Century,4543112164025,Moblie Suit Gundam: Gihren's Ambitions,01/01/2003,¥4860
HG GAT-X103 Buster Gundam ,High Grade,1/144,Cosmic Era,4543112164032,Mobile Suit Gundam SEED,01/01/2003,¥1080
Blitz Gundam  ,No Grade,1/144,Cosmic Era,4543112164049,Mobile Suit Gundam SEED,01/01/2003,¥432
Quick Model Aegis Gundam ,No Grade,1/144,Cosmic Era,4543112164056,Mobile Suit Gundam SEED,01/01/2003,¥1296
Cobra Gundam ,Super Deformed,No Scale,SD,4543112164063,SD Gundam Musha Maruden 2,01/01/2003,¥540
MG MS-14A Gelgoog Gato Custom  ,Master Grade,1/100,Universal Century,4543112164087,Mobile Suit Gundam 0083: Stardust Memory,02/01/2003,¥3780
PG RX-78 GP01/Fb Gundam GP01 ,Perfect Grade,1/60,Universal Century,4543112164094,Mobile Suit Gundam 0083: Stardust Memory,11/1/2003,¥21600
1/100 Aegis Gundam  ,No Grade,1/100,Cosmic Era,4543112164100,Mobile Suit Gundam SEED,02/01/2003,¥2376
Sword Strike Gundam  ,No Grade,1/144,Cosmic Era,4543112164117,Mobile Suit Gundam SEED,02/01/2003,¥540
Launcher Strike Gundam  ,No Grade,1/144,Cosmic Era,4543112164124,Mobile Suit Gundam SEED,02/01/2003,¥540
Quick Model Blitz Gundam ,No Grade,1/144,Cosmic Era,4543112164131,Mobile Suit Gundam SEED,02/01/2003,¥1296
Gogo Shogundam ,Super Deformed,No Scale,SD,4543112164148,SD Gundam Musha Maruden 2,02/01/2003,¥540
MG MSA-0011(Ext) Ex-S Gundam ,Master Grade,1/100,Universal Century,4543112164155,Gundam Sentinel,03/01/2003,¥8640
1/100 Sword Strike Gundam  ,No Grade,1/100,Cosmic Era,4543112164162,Mobile Suit Gundam SEED,03/01/2003,¥2376
1/100 Launcher Strike Gundam  ,No Grade,1/100,Cosmic Era,4543112164179,Mobile Suit Gundam SEED,03/01/2003,¥2376
Mobile BuCUE  ,No Grade,1/144,Cosmic Era,4543112164186,Mobile Suit Gundam SEED,03/01/2003,¥432
Quick Model Buster Gundam ,No Grade,1/144,Cosmic Era,4543112164193,Mobile Suit Gundam SEED,04/01/2003,¥1058
EX Gundam SEED Mecha Set 1  ,EX Model,1/144,Cosmic Era,4543112164230,Mobile Suit Gundam SEED,07/01/2003,¥3780
SD Strike Gundam ,Super Deformed,No Scale,Cosmic Era,4543112176042,Mobile Suit Gundam SEED,02/01/2003,¥540
Freedom Gundam  ,No Grade,1/144,Cosmic Era,4543112179838,Mobile Suit Gundam SEED,04/01/2003,¥432
HG ZGMF-1017 Mobile Ginn ,High Grade,1/144,Cosmic Era,4543112179845,Mobile Suit Gundam SEED,04/01/2003,¥1080
HG GAT-X207 Blitz Gundam ,High Grade,1/144,Cosmic Era,4543112179852,Mobile Suit Gundam SEED,04/01/2003,¥1296
1/100 Buster Gundam ,No Grade,1/100,Cosmic Era,4543112179869,Mobile Suit Gundam SEED,03/01/2003,¥2160
1/60 Gundam Striker Weapon System ,No Grade,1/60,Cosmic Era,4543112179876,Mobile Suit Gundam SEED,03/01/2003,¥7560
MG GF13-017NJ II Hyper Mode God Gundam ,Master Grade,1/100,Future Century,4543112179883,Mobile Fighter G Gundam,04/01/2003,¥4860
MG GF13-001NH II Hyper Mode Master Gundam ,Master Grade,1/100,Future Century,4543112179890,Mobile Fighter G Gundam,04/01/2003,¥5400
SD Gundam Astray Red Frame  ,Super Deformed,No Scale,Cosmic Era,4543112179906,Mobile Suit Gundam SEED Frame Astrays,04/01/2003,¥540
Bujimaru ,Super Deformed,No Scale,SD,4543112179913,SD Gundam Musha Maruden 3,04/01/2003,¥540
Justice Gundam  ,No Grade,1/144,Cosmic Era,4543112192462,Mobile Suit Gundam SEED,05/01/2003,¥540
Calamity Gundam  ,No Grade,1/144,Cosmic Era,4543112192479,Mobile Suit Gundam SEED,06/01/2003,¥540
Mobile Goohn  ,No Grade,1/144,Cosmic Era,4543112192486,Mobile Suit Gundam SEED,06/01/2003,¥432
HG ZGMF-X10A Freedom Gundam ,High Grade,1/144,Cosmic Era,4543112192493,Mobile Suit Gundam SEED,06/01/2003,¥1620
1/100 Duel Gundam Assault Shroud ,No Grade,1/100,Cosmic Era,4543112192509,Mobile Suit Gundam SEED,05/01/2003,¥2376
HGUC MSM-03C Hy-Gogg ,High Grade,1/144,Universal Century,4543112192516,Mobile Suit Gundam 0080: War in the Pocket,06/01/2003,¥1296
MG MSM-07 Z'Gok ,Master Grade,1/100,Universal Century,4543112192523,Mobile Suit Gundam,05/01/2003,¥3240
MG MSM-03 Gogg  ,Master Grade,1/100,Universal Century,4543112192530,Mobile Suit Gundam,06/01/2003,¥3780
Burikimaru ,Super Deformed,No Scale,SD,4543112192547,SD Gundam Musha Maruden 3,05/01/2003,¥540
FA-78-1 Full Armor Gundam (SD)  ,Super Deformed,No Scale,Universal Century,4543112192554,Mobile Suit Gundam,06/01/2003,¥1080
HG Justice Gundam ,High Grade,1/144,Cosmic Era,4543112192585,Mobile Suit Gundam SEED,07/01/2003,¥1620
1/100 Freedom Gundam ,No Grade,1/100,Cosmic Era,4543112192592,Mobile Suit Gundam SEED,07/01/2003,¥2376
Forbidden Gundam  ,No Grade,1/144,Cosmic Era,4543112204592,Mobile Suit Gundam SEED,07/01/2003,¥540
Rader Gundam  ,No Grade,1/144,Cosmic Era,4543112204608,Mobile Suit Gundam SEED,08/01/2003,¥540
HG Calamity Gundam ,High Grade,1/144,Cosmic Era,4543112204615,Mobile Suit Gundam SEED,08/01/2003,¥1296
1/100 Justice Gundam ,No Grade,1/100,Cosmic Era,4543112204622,Mobile Suit Gundam SEED,08/01/2003,¥2376
1/60 Freedom Gundam ,No Grade,1/60,Cosmic Era,4543112204639,Mobile Suit Gundam SEED,08/01/2003,¥5400
HGUC MSM-07E Z'gok Experement  ,High Grade,1/144,Universal Century,4543112204646,Mobile Suit Gundam 0080: War in the Pocket,08/01/2003,¥1296
HGUC RGM-79D GM Cold Districts Type ,High Grade,1/144,Universal Century,4543112204653,Mobile Suit Gundam 0080: War in the Pocket,07/01/2003,¥864
MG RX-78-4 Gundam G04 ,Master Grade,1/100,Universal Century,4543112204660,Mobile Suit Gundam Gaiden,07/01/2003,¥3024
MG RX-78-5 Gundam G05  ,Master Grade,1/100,Universal Century,4543112204677,Mobile Suit Gundam Gaiden,08/01/2003,¥3024
Shinsoumaru ,Super Deformed,No Scale,SD,4543112204684,SD Gundam Musha Maruden 3,07/01/2003,¥540
Soutenmaru & Koutenmaru ,Super Deformed,No Scale,SD,4543112204691,SD Gundam Musha Maruden 3,08/01/2003,¥864
Dokkanmaru ,Super Deformed,No Scale,SD,4543112204707,SD Gundam Musha Maruden 3,08/01/2003,¥540
HGUC MS-06 Zaku II Mass Production Type  ,High Grade,1/144,Universal Century,4543112222404,Mobile Suit Gundam,09/01/2003,¥1080
HGUC MSZ-006 Zeta Gundam  ,High Grade,1/144,Universal Century,4543112222411,Mobile Suit Zeta Gundam,10/1/2003,¥1728
MG GAT-X105 Aile Strike Gundam  ,Master Grade,1/100,Cosmic Era,4543112222428,Mobile Suit Gundam SEED,10/1/2003,¥4104
Strike Dugger  ,No Grade,1/144,Cosmic Era,4543112222435,Mobile Suit Gundam SEED,02/01/2004,¥432
Mushamaru Hishogun ,Super Deformed,No Scale,SD,4543112222442,SD Gundam Musha Maruden 3,09/01/2003,¥540
Marujuika & Kaijumaru ,Super Deformed,No Scale,SD,4543112222459,SD Gundam Musha Maruden 3,10/1/2003,¥540
Mobile Gates ,No Grade,1/144,Cosmic Era,4543112222473,Mobile Suit Gundam SEED,10/1/2003,¥432
Mobile Din  ,No Grade,1/144,Cosmic Era,4543112227126,Mobile Suit Gundam SEED,11/1/2003,¥540
HG Raider Gundam  ,High Grade,1/144,Cosmic Era,4543112227133,Mobile Suit Gundam SEED,11/1/2003,¥1620
SD Freedom Gumdam  ,Super Deformed,No Scale,Cosmic Era,4543112227140,Mobile Suit Gundam SEED,11/1/2003,¥540
HG Gundam Astray Red Frame ,High Grade,1/144,Cosmic Era,4543112227157,Mobile Suit Gundam SEED,11/1/2003,¥1296
1/100 Blitz Gundam ,No Grade,1/100,Cosmic Era,4543112227164,Mobile Suit Gundam SEED,12/1/2003,¥2160
HGUC ORX-005 Gaplant ,High Grade,1/144,Universal Century,4543112227171,Mobile Suit Zeta Gundam,11/1/2003,¥2376
MG MSM-07S Char's Z'Gok ,Master Grade,1/100,Universal Century,4543112227188,Mobile Suit Gundam,11/1/2003,¥3240
MG PF-78-1 Perfect Gundam  ,Master Grade,1/100,Plamo Kyoshiro,4543112227195,Plamo Kyoshiro,12/1/2003,¥4320
Trinity Daishogun ,Super Deformed,No Scale,SD,4543112227201,SD Gundam Musha Maruden 3,12/1/2003,¥1620
HGUC MS-09R-2 Rick Dom II ,High Grade,1/144,Universal Century,4543112237132,Mobile Suit Gundam 0080: War in the Pocket,01/01/2004,¥1620
MG XXXG-01W Wing Gundam Ver.Ka ,Master Grade,1/100,After Colony,4543112237149,New Mobile Report Gundam Wing: Endless Waltz,03/01/2004,¥3780
Providence Gundam  ,No Grade,1/144,Cosmic Era,4543112237156,Mobile Suit Gundam SEED,01/01/2004,¥648
SD Strike Gundam Striker Weapon System ,Super Deformed,No Scale,Cosmic Era,4543112237163,Mobile Suit Gundam SEED,01/01/2004,¥1080
1/400 Meetia Unit ,No Grade,1/400,Cosmic Era,4543112237187,Mobile Suit Gundam SEED,02/01/2004,¥2160
HG Gundam Astary Blue Frame  ,High Grade,1/144,Cosmic Era,4543112241207,Mobile Suit Gundam SEED,02/01/2004,¥1296
HGUC RX-77D Guncannon Mass Production Type  ,High Grade,1/144,Universal Century,4543112241214,Mobile Suit Gundam 0080: War in the Pocket,02/01/2004,¥1080
MG AMX-004-3 Qubeley Mk-II Ple-Two Custom ,Master Grade,1/100,Universal Century,4543112241221,Mobile Suit Gundam ZZ,02/01/2004,¥4320
Choshoguntoga ,Super Deformed,No Scale,SD,4543112241238,SD Gundam Musha Maruden 3,02/01/2004,¥540
SD Aegis Gundam ,Super Deformed,No Scale,Cosmic Era,4543112241245,Mobile Suit Gundam SEED,02/01/2004,¥540
M1 Astray  ,No Grade,1/144,Cosmic Era,4543112249166,Mobile Suit Gundam SEED,03/01/2004,¥540
HG Providence Gundam  ,High Grade,1/144,Cosmic Era,4543112249173,Mobile Suit Gundam SEED,03/01/2004,¥1620
HG Strike Rouge + IWSP ,High Grade,1/144,Cosmic Era,4543112249180,Mobile Suit Gundam SEED,05/01/2004,¥1620
Heavy Weapon Captain Gundam ,Super Deformed,No Scale,SD Gundam Force,4543112249197,Superior Defender Gundam Force,03/01/2004,¥540
HG Mobile Cgue  ,High Grade,1/144,Cosmic Era,4543112249227,Mobile Suit Gundam SEED,04/01/2004,¥1296
1/100 Gundam Astray Red Frame ,No Grade,1/100,Cosmic Era,4543112249234,Mobile Suit Gundam SEED,04/01/2004,¥2160
HGUC MS-14JG Gelgoog Jager  ,High Grade,1/144,Universal Century,4543112249241,Mobile Suit Gundam 0080: War in the Pocket,03/01/2004,¥1296
HGUC RGM-79G GM Command  ,High Grade,1/144,Universal Century,4543112252999,Mobile Suit Gundam 0080: War in the Pocket,05/01/2004,¥864
MG RMS-099 Rick Dias ,Master Grade,1/100,Universal Century,4543112253002,Mobile Suit Zeta Gundam,05/01/2004,¥3780
HG Meteor Unit + Freedom Gundam ,High Grade,1/144,Cosmic Era,4543112253019,Mobile Suit Gundam SEED,05/01/2004,¥8640
HG Mobile Ginn (Miguel's Ginn)  ,High Grade,1/144,Cosmic Era,4543112253026,Mobile Suit Gundam SEED,05/01/2004,¥1080
1/100 Providence Gundam ,No Grade,1/100,Cosmic Era,4543112253033,Mobile Suit Gundam SEED,05/01/2004,¥2700
SD Zapper Zaku Heavy Armed Type  ,Super Deformed,No Scale,SD Gundam Force,4543112253057,SD Gundam Force,05/01/2004,¥540
HGUC RX-78 NT-1 Gundam NT-1 ,High Grade,1/144,Universal Century,4543112256508,Mobile Suit Gundam 0080: War in the Pocket,06/01/2004,¥1620
MG MSN-02 Perfect Zeong  ,Master Grade,1/100,Universal Century,4543112256515,Mobile Suit Gundam,06/01/2004,¥10800
Shonen Musha Retsumaru ,Super Deformed,No Scale,SD,4543112256539,Musha Retsuden Bukabuka-hen,06/01/2004,¥324
SD Blitz Gundam ,Super Deformed,No Scale,Cosmic Era,4543112256546,Mobile Suit Gundam SEED,05/01/2004,¥540
HG Mobile Ginn High Maneuver ,High Grade,1/144,Cosmic Era,4543112256553,Mobile Suit Gundam SEED,06/01/2004,¥1296
HGUC Hyaku Shiki + Mega Bazooka Launcher  ,High Grade,1/144,Universal Century,4543112267931,Mobile Suit Zeta Gundam,07/01/2004,¥1944
MG ZGMF-X10A Freedom Gundam  ,Master Grade,1/100,Cosmic Era,4543112267948,Mobile Suit Gundam SEED,07/01/2004,¥4104
HG Hyperion Gundam  ,High Grade,1/144,Cosmic Era,4543112267955,Mobile Suit Gundam SEED,07/01/2004,¥1296
1/100 Gundam Astray Blue Frame 2nd L  ,No Grade,1/100,Cosmic Era,4543112267962,Mobile Suit Gundam SEED,07/01/2004,¥2700
Rekka Musha Gundam ,Super Deformed,No Scale,SD,4543112267986,Superior Defender Gundam Force,08/01/2004,¥540
Blazing Samurai Spirit Bakunetsumaru ,Super Deformed,No Scale,SD,4543112267993,Musha Retsuden Bukabuka-hen,07/01/2004,¥540
HGUC MRX-009 Psycho Gundam  ,High Grade,1/144,Universal Century,4543112268006,Mobile Suit Zeta Gundam,08/01/2004,¥5400
MG RMS-106 Hi-Zack  ,Master Grade,1/100,Universal Century,4543112268013,Mobile Suit Zeta Gundam,08/01/2004,¥3240
HG Cgue D.E.E.P. Arms  ,High Grade,1/144,Cosmic Era,4543112268020,Mobile Suit Gundam SEED,08/01/2004,¥1620
MG MBF-02 Strike Rouge  ,Master Grade,1/100,Cosmic Era,4543112294500,Mobile Suit Gundam SEED,09/01/2004,¥4320
HG 105Dagger + Gunbarrel  ,High Grade,1/144,Cosmic Era,4543112294517,Mobile Suit Gundam SEED,09/01/2004,¥1620
SD Justice Gundam  ,Super Deformed,No Scale,Cosmic Era,4543112294524,Mobile Suit Gundam SEED,09/01/2004,¥648
